Date,Open,High,Low,Close,Volume,Ticker,Daily_Return,MA20,MA50,Volatility
2023-01-03,128.10574552902463,128.71539349844326,122.09771520429403,122.98269653320312,112117500,AAPL,,,,
2023-01-04,124.77234386397704,126.51280869797894,122.99255318811515,124.25119018554688,89113600,AAPL,1.0314407539448345,,,
2023-01-05,125.0083349534918,125.63765344479737,122.67789249421179,122.93354797363281,80962700,AAPL,-1.0604664711431733,,,
2023-01-06,123.90702590791659,128.11558844506558,122.80571484542136,127.45677185058594,87754700,AAPL,3.679405623209764,,,
2023-01-09,128.29257960577254,131.18351617146814,127.72225745979352,127.97791290283203,70790800,AAPL,0.40887670751383887,,,
2023-01-10,128.08612130890833,129.06943258413017,125.98183578009913,128.54827880859375,63896200,AAPL,0.44567526757117726,,,
2023-01-11,129.0595847172529,131.28186245070447,128.28277553296553,131.26220703125,69458900,AAPL,2.1112131938360923,,,
2023-01-12,131.6456901154858,132.0193381171801,129.24640871746402,131.18353271484375,71379600,AAPL,-0.059936761833911945,,,
2023-01-13,129.82653652186355,132.66830441383743,129.4627162913207,132.51097106933594,57809700,AAPL,1.0118940441844027,,,
2023-01-17,132.57984966159466,134.99878678874634,131.89153482883353,133.67132568359375,63646600,AAPL,0.8756668258439237,,,
2023-01-18,134.5366071318126,136.29672707490226,132.776472184589,132.95347595214844,69672800,AAPL,-0.5370259685644863,,,
2023-01-19,131.8423392118264,133.97612225756075,131.53751520588366,133.01248168945312,58280400,AAPL,0.04438074061781094,,,
2023-01-20,133.02231973826562,135.71659745917918,131.98001240951498,135.569091796875,80223600,AAPL,1.9220828563975223,,,
2023-01-23,135.81491475833332,140.92814412125819,135.59858513124948,138.75502014160156,81760300,AAPL,2.350040339209536,,,
2023-01-24,137.96839974299797,140.77084282048162,137.95857203194126,140.15135192871094,66435100,AAPL,1.006328841784887,,,
2023-01-25,138.53867984910516,140.05297211797858,136.49339126221906,139.49249267578125,65799300,AAPL,-0.4701055279615285,,,
2023-01-26,140.78068599712554,141.8426640693374,139.53187636533838,141.55751037597656,54105100,AAPL,1.4803790946620987,,,
2023-01-27,140.77082215722044,144.77289057415175,140.69215546789684,143.4945831298828,70555800,AAPL,1.3683998459434576,,,
2023-01-30,142.54077586673455,143.12092578303154,140.46598895897412,140.6134796142578,64015300,AAPL,-2.0078134329413633,,,
2023-01-31,140.31846671250062,141.931096037562,139.90547792238985,141.88192749023438,65874500,AAPL,0.9020812794450883,133.512992477417,,
2023-02-01,141.56727363630213,144.1632138517995,138.96150571314269,143.00289916992188,77663600,AAPL,0.7900736193231284,134.51400260925294,,1.2757894971007955
2023-02-02,146.41500811186492,148.65695608667727,145.69719525256042,148.302978515625,118339000,AAPL,3.7062740521123017,135.71659202575682,,1.4354439165095805
2023-02-03,145.5595309829737,154.75349514117664,145.36287177724367,151.9215545654297,154357300,AAPL,2.4399887891823013,137.16599235534667,,1.3969207842160543
2023-02-06,150.0237617823619,150.54491539574025,148.26362674506663,149.19776916503906,69858300,AAPL,-1.7928893685836722,138.25304222106934,,1.3955445777790385
2023-02-07,148.12595929659778,152.63935290701122,148.12595929659778,152.06903076171875,83322600,AAPL,1.9244668420635547,139.45759811401368,,1.4142250155443803
2023-02-08,151.3119247541495,152.00023955919008,148.64714493246836,149.38462829589844,64120100,AAPL,-1.765252564821418,140.4994155883789,,1.5311724077131008
2023-02-09,151.213581264491,151.75440537570756,147.9096553354024,148.35214233398438,56007100,AAPL,-0.6911594410295874,141.35391235351562,,1.5297196988100048
2023-02-10,147.19009004770194,149.04152741969745,146.95372962642622,148.71653747558594,57450700,AAPL,0.24562849977669554,142.23056259155274,,1.5240352531252128
2023-02-13,148.65740223290342,151.91712829057613,148.62785906834173,151.51336669921875,62199000,AAPL,1.8806443930904138,143.18068237304686,,1.547389036563707
2023-02-14,149.8096612758476,151.43461079325414,148.56880303013764,150.87326049804688,61707600,AAPL,-0.4224750694389878,144.04077911376953,,1.5660228233443758
2023-02-15,150.78460186711027,153.13830250713502,150.55809926068437,152.97088623046875,65573800,AAPL,1.3903230602277716,145.04164962768556,,1.5503832952830403
2023-02-16,151.17852906062296,153.95570692832584,151.02097051495025,151.37550354003906,68167900,AAPL,-1.04293224007741,145.95980072021484,,1.5936009184518767
2023-02-17,150.03619479649413,150.6763169294936,148.55897600306773,150.233154296875,59144100,AAPL,-0.7546460401117061,146.69300384521483,,1.5944906814499884
2023-02-21,147.91882364629484,149.00212332766463,146.15601601247863,146.22494506835938,58867200,AAPL,-2.667992459637125,147.06650009155274,,1.684757532575466
2023-02-22,146.60899081957194,147.67258982358598,144.92497033349784,146.6483917236328,51011300,AAPL,0.28958578515825284,147.39135208129883,,1.676004344156553
2023-02-23,147.81048914517564,148.05669224456878,145.00378282832062,147.13096618652344,48394200,AAPL,0.32906904550311644,147.77327575683594,,1.6676861371477254
2023-02-24,144.87576101262292,144.9545478123535,143.50687229977612,144.48184204101562,55469600,AAPL,-1.8005211371679652,147.91949234008788,,1.7043656370679325
2023-02-27,145.46669018028382,146.90450830369045,145.21062926158595,145.67349243164062,44998500,AAPL,0.8247751923641022,148.02843780517577,,1.6875941950882576
2023-02-28,144.81668575965537,146.81585399639758,144.60002580056587,145.1712188720703,50547000,AAPL,-0.34479406732560447,148.2563247680664,,1.6184014056041396
2023-03-01,144.59999202590106,144.99391093566584,142.80762642427203,143.1030731201172,55479000,AAPL,-1.4246251894982298,148.31738204956054,,1.6465404241200527
2023-03-02,142.1872231725768,144.481837933212,141.71450238763347,143.69398498535156,52238100,AAPL,0.41292744617607013,148.35193634033203,,1.639832943772465
2023-03-03,145.79164167073546,148.81502337863614,145.09243318314816,148.73623657226562,70732300,AAPL,3.50902063675671,148.37359924316405,,1.617036409995512
2023-03-06,151.4542972077173,153.92618602775224,151.1293223291666,151.4936981201172,87558000,AAPL,1.85392720119808,148.35220642089843,,1.575791408330563
2023-03-07,151.36567408118486,151.69066400049135,148.83471383986452,149.29757690429688,56182000,AAPL,-1.4496452612035693,148.35719680786133,,1.5570213033331417
2023-03-08,150.4892077170001,151.1391876253047,149.52409559763862,150.5482940673828,47204800,AAPL,0.8377344020041866,148.28115997314453,,1.5049632087294482
2023-03-09,151.2277963802791,152.1929083670859,147.9483691410299,148.3029022216797,53833600,AAPL,-1.4914761137699295,148.2270736694336,,1.4896069269669934
