Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2023-01-03,128.10574552902463,128.71539349844326,122.09771520429403,122.98269653320312,112117500,88.80256311679109,90.24973739582715,87.74196796868762,88.33670043945312,28131200,236.3513594820361,238.94745003778394,230.82857855768225,232.9482421875,25740000
2023-01-04,124.77234386397704,126.51280869797894,122.99255318811515,124.25119018554688,89113600,89.55589230728985,89.85325856571626,86.50296129515269,87.30584716796875,34854800,225.8503455985308,226.42401047503648,219.7052947992431,222.7583770751953,50623400
2023-01-05,125.0083349534918,125.63765344479737,122.67789249421179,122.93354797363281,80962700,86.7011940154015,86.8003135647901,85.14499364675605,85.44235229492188,27194400,220.91093644040888,221.25125412142148,215.62151720752513,216.1562957763672,39585600
2023-01-06,123.90702590791659,128.11558844506558,122.80571484542136,127.45677185058594,87754700,86.02716538968608,86.91925640594395,84.1141287068417,86.57232666015625,41381500,216.82719680304174,219.51079264209568,213.27823740876858,218.70376586914062,43613600
2023-01-09,128.29257960577254,131.18351617146814,127.72225745979352,127.97791290283203,70790800,87.58336868376195,89.25851700743456,87.08776338680192,87.24635314941406,29003900,220.18169301907503,224.8391105735464,220.14280677677522,220.83314514160156,27369800
2023-01-10,128.08612130890833,129.06943258413017,125.98183578009913,128.54827880859375,63896200,85.2242962744404,87.89064781997227,85.07561316227476,87.6428451538086,30467800,221.45546512498274,224.90720202339816,221.03737489705813,222.5153045654297,27033900
2023-01-11,129.0595847172529,131.28186245070447,128.28277553296553,131.26220703125,69458900,88.39617710871649,90.79490536631714,88.22767309213403,90.71560668945312,26862000,224.88771246329648,229.41872372216184,224.7127021200409,229.24371337890625,28669300
2023-01-12,131.6456901154858,132.0193381171801,129.24640871746402,131.18353271484375,71379600,90.6759627102154,91.06253429761234,88.96116478580137,90.32903289794922,30258100,228.74784480479596,233.25940599267489,227.09490487805533,231.9078826904297,27269500
2023-01-13,129.82653652186355,132.66830441383743,129.4627162913207,132.51097106933594,57809700,90.051483892175,91.3797100639102,89.3378110312232,91.3103256225586,26329200,230.4396879177981,232.74408004932297,228.41726187215806,232.6079559326172,21333300
2023-01-17,132.57984966159466,134.99878678874634,131.89153482883353,133.67132568359375,63646600,91.25086941616998,91.43920189965152,89.25854103104518,90.48764038085938,32602400,231.38282055332843,234.24144161412062,230.52717483814848,233.6969451904297,29831300
2023-01-18,134.5366071318126,136.29672707490226,132.776472184589,132.95347595214844,69672800,91.33016162262862,91.9843643742161,89.84334543702602,90.31912994384766,29116700,234.88320786751135,235.67078421870966,229.00067244788087,229.2826385498047,30028700
2023-01-19,131.8423392118264,133.97612225756075,131.53751520588366,133.01248168945312,58280400,89.92263219572776,92.78723039529136,89.83341930400117,92.2321548461914,37000400,227.3088064182575,229.00064735365646,224.29461063179636,225.510009765625,28623000
2023-01-20,133.02231973826562,135.71659745917918,131.98001240951498,135.569091796875,80223600,94.2641293027765,97.43600785288929,94.18483063749785,97.15846252441406,63191100,228.35890938614477,234.07615156759218,228.0185916995672,233.57054138183594,35389800
2023-01-23,135.81491475833332,140.92814412125819,135.59858513124948,138.75502014160156,81760300,97.08907895531317,99.16071312089554,96.64303719320243,98.91291046142578,40005100,234.42620586269453,238.3835379806386,233.01633090813738,235.865234375,31934000
2023-01-24,137.96839974299797,140.77084282048162,137.95857203194126,140.15135192871094,66435100,97.23777917234118,98.73450961634089,96.34568792882023,96.84129333496094,33078500,235.78743760454404,237.19729766623655,233.7844621578948,235.3401641845703,40234400
2023-01-25,138.53867984910516,140.05297211797858,136.49339126221906,139.49249267578125,65799300,94.73000174467127,95.31481996198589,92.93591288382635,94.3830795288086,42330000,227.98941574229838,236.56527872989417,224.50851101400366,233.94973754882812,66526600
2023-01-26,140.78068599712554,141.8426640693374,139.53187636533838,141.55751037597656,54105100,95.65183309275027,96.71242824527482,94.54167438000948,96.6628646850586,30114000,236.9055678857333,241.43657893263136,235.30124713528542,241.13516235351562,33454500
2023-01-27,140.77082215722044,144.77289057415175,140.69215546789684,143.4945831298828,70555800,96.45471331121503,99.43825971343786,96.45471331121503,98.49661254882812,33879800,242.09782893829603,242.91457372817888,239.99761533309652,241.29080200195312,26498900
2023-01-30,142.54077586673455,143.12092578303154,140.46598895897412,140.6134796142578,64015300,96.62322927209162,97.42610757655028,95.55271982458807,96.08797454833984,27226200,237.74178578895192,238.80162509755758,235.4957305884033,235.9916229248047,25867400
2023-01-31,140.31846671250062,141.931096037562,139.90547792238985,141.88192749023438,65874500,96.01858885911187,98.01091703799966,95.96902529627194,97.97126770019531,29870700,236.7111267803919,241.08656355946167,236.22496713827303,240.950439453125,26541100
2023-02-01,141.56727363630213,144.1632138517995,138.96150571314269,143.00289916992188,77663600,97.84239594167008,100.30060151999366,96.72233070301775,99.54727935791016,35531100,241.13517614830616,248.11642130402413,238.6752096108031,245.75369262695312,31259900
2023-02-02,146.41500811186492,148.65695608667727,145.69719525256042,148.302978515625,118339000,104.8700863300786,106.90206355804081,104.68175389285314,106.79302978515625,69883800,251.65572121722164,257.36323150604915,250.12917259535388,257.2757263183594,39940400
2023-02-03,145.5595309829737,154.75349514117664,145.36287177724367,151.9215545654297,154357300,102.0253238017862,106.86242958684039,101.67840154834732,103.85906219482422,65309300,252.3557623051793,256.8867738555353,249.9833008123263,251.19869995117188,29077300
2023-02-06,150.0237617823619,150.54491539574025,148.26362674506663,149.19776916503906,69858300,101.49998482270392,103.44275703327085,100.98455098504732,101.99559020996094,31999600,250.31389683270552,251.15007723406973,247.72752379068612,249.6624298095703,22518000
2023-02-07,148.12595929659778,152.63935290701122,148.12595929659778,152.06903076171875,83322600,102.31276695764967,107.229170992123,102.21364740273903,106.69391632080078,49010200,253.31834411841427,261.33024559426707,252.88078856760495,260.15374755859375,50841400
2023-02-08,151.3119247541495,152.00023955919008,148.64714493246836,149.38462829589844,64120100,101.15305759656383,102.23347365780366,97.17830046850436,98.49661254882812,94743500,265.63767911484825,269.09913389839613,258.8411461479816,259.3467712402344,54686000
